comp_id;wine_id;residual_sugar;chlorides;sulphates
872;872;1.8;0.088;0.56
873;873;2.8;0.095;0.6
874;874;1.9;0.066;0.56
875;875;2.2;0.065;0.52
876;876;2.5;0.075;0.54
877;877;2.1;0.091;0.55
878;878;1.8;0.093;0.58
879;879;4.1;0.095;0.53
880;880;2.6;0.089;0.59
881;881;2.5;0.077;0.47
882;882;2.4;0.085;0.65
883;883;2.5;0.082;0.59
884;884;1.8;0.074;0.56
885;885;6.2;0.078;0.77
886;886;2.2;0.088;0.83
887;887;2.2;0.088;0.67
888;888;1.7;0.079;0.64
889;889;8.9;0.069;0.81
890;890;3.3;0.046;0.62
891;891;1.4;0.07;0.58
892;892;1.7;0.076;0.62
893;893;1.8;0.082;0.64
894;894;1.7;0.081;0.78
895;895;1.8;0.084;0.77
896;896;1.4;0.414;1.34
897;897;2.4;0.073;0.55
898;898;2.3;0.07;0.77
899;899;2.0;0.095;0.62
900;900;4.0;0.101;0.59
901;901;3.9;0.104;0.57
902;902;2.4;0.093;0.76
903;903;1.8;0.074;0.7
904;904;1.8;0.071;0.69
905;905;1.9;0.098;0.64
906;906;2.4;0.075;0.63
907;907;2.0;0.067;0.57
908;908;2.4;0.083;0.6
909;909;2.4;0.07;0.72
910;910;2.2;0.06;0.83
911;911;2.8;0.086;0.62
912;912;1.5;0.057;0.89
913;913;8.1;0.098;0.58
914;914;1.8;0.083;0.58
915;915;2.7;0.088;0.58
916;916;2.0;0.071;0.86
917;917;2.0;0.073;0.73
918;918;6.4;0.08;0.58
919;919;8.3;0.05;0.51
920;920;1.4;0.047;0.51
921;921;8.3;0.05;0.51
922;922;1.8;0.073;0.59
923;923;2.4;0.072;0.77
924;924;1.8;0.074;0.49
925;925;4.7;0.055;0.66
926;926;1.6;0.057;0.69
927;927;1.5;0.095;0.76
928;928;1.9;0.083;0.63
929;929;2.0;0.086;0.6
930;930;2.0;0.081;0.59
931;931;2.2;0.079;0.86
932;932;5.5;0.117;0.49
933;933;2.5;0.087;0.5
934;934;1.5;0.096;0.52
935;935;2.1;0.216;0.81
936;936;2.1;0.072;0.78
937;937;2.1;0.071;0.63
938;938;1.7;0.078;0.54
939;939;2.2;0.073;0.66
940;940;2.1;0.048;0.6
941;941;1.9;0.069;0.54
942;942;2.0;0.068;0.85
943;943;3.3;0.09;0.49
944;944;2.1;0.171;0.76
945;945;1.4;0.07;0.64
946;946;2.0;0.092;0.64
947;947;1.5;0.056;0.71
948;948;1.6;0.074;0.59
949;949;4.3;0.046;0.66
950;950;2.5;0.091;0.6
951;951;2.1;0.065;0.53
952;952;2.5;0.066;0.58
953;953;2.5;0.076;0.72
954;954;1.8;0.062;0.55
955;955;1.4;0.055;0.48
956;956;1.9;0.081;0.65
957;957;2.2;0.096;0.62
958;958;1.7;0.055;0.59
959;959;1.7;0.063;0.54
960;960;2.9;0.072;0.6
961;961;2.7;0.095;0.68
962;962;3.3;0.092;0.69
963;963;1.9;0.058;0.63
964;964;1.7;0.045;0.44
965;965;1.8;0.075;0.88
966;966;5.5;0.089;0.68
967;967;1.7;0.061;0.74
968;968;1.7;0.067;0.6
969;969;2.0;0.08;0.76
970;970;3.7;0.104;0.58
971;971;2.0;0.079;0.64
972;972;1.7;0.08;0.65
973;973;2.5;0.08;0.85
974;974;2.4;0.043;0.65
975;975;1.8;0.065;0.82
976;976;2.3;0.066;0.62
977;977;2.5;0.076;0.81
978;978;1.8;0.178;0.87
979;979;6.2;0.071;0.49
980;980;2.0;0.086;0.66
981;981;2.0;0.061;0.52
982;982;2.8;0.067;0.76
983;983;2.5;0.044;0.65
984;984;2.2;0.118;0.53
985;985;2.1;0.083;0.66
986;986;2.2;0.1;0.68
987;987;1.75;0.071;0.76
988;988;2.1;0.042;0.87
989;989;2.8;0.076;1.16
990;990;2.2;0.11;0.67
991;991;2.3;0.087;0.72
992;992;1.4;0.076;0.75
993;993;2.3;0.075;0.71
994;994;1.7;0.078;0.67
995;995;1.9;0.369;1.1
996;996;2.0;0.111;0.98
997;997;2.5;0.074;0.88
998;998;2.8;0.067;0.56
999;999;2.3;0.086;0.62
1000;1000;1.6;0.062;0.67
1001;1001;2.2;0.078;0.68
1002;1002;2.1;0.074;0.74
1003;1003;1.7;0.079;0.62
1004;1004;2.2;0.095;0.7
1005;1005;5.6;0.079;0.5
1006;1006;2.4;0.052;0.66
1007;1007;2.1;0.041;0.73
1008;1008;2.4;0.076;0.81
1009;1009;1.65;0.068;0.46
1010;1010;2.5;0.068;0.86
1011;1011;1.6;0.07;0.6
1012;1012;2.1;0.08;0.7
1013;1013;2.0;0.085;0.46
1014;1014;7.8;0.079;0.5
1015;1015;1.8;0.075;0.44
1016;1016;4.6;0.08;0.57
1017;1017;2.3;0.166;0.51
1018;1018;2.5;0.063;0.8
1019;1019;2.3;0.166;0.51
1020;1020;1.8;0.114;0.59
1021;1021;1.8;0.078;0.6
1022;1022;2.3;0.076;0.58
1023;1023;1.5;0.069;0.54
1024;1024;2.0;0.052;0.79
1025;1025;1.9;0.065;0.54
1026;1026;1.8;0.068;0.69
1027;1027;5.8;0.111;0.55
1028;1028;2.1;0.074;0.85
1029;1029;1.7;0.136;0.94
1030;1030;2.0;0.071;0.87
1031;1031;2.1;0.078;0.62
1032;1032;2.1;0.076;0.62
1033;1033;1.9;0.071;0.75
1034;1034;1.9;0.081;0.48
1035;1035;2.1;0.095;0.56
1036;1036;2.0;0.079;0.69
1037;1037;1.9;0.057;0.81
1038;1038;1.9;0.082;0.69
1039;1039;1.3;0.044;0.83
1040;1040;1.8;0.132;0.77
1041;1041;2.2;0.078;0.46
1042;1042;2.2;0.074;0.76
1043;1043;2.5;0.08;0.82
1044;1044;2.6;0.091;0.51
1045;1045;4.1;0.08;0.47
1046;1046;2.0;0.104;0.72
1047;1047;1.8;0.044;0.73
1048;1048;2.1;0.075;0.64
1049;1049;2.7;0.066;0.78
1050;1050;2.6;0.074;0.62
1051;1051;2.2;0.057;0.49
1052;1052;2.2;0.059;0.4
1053;1053;12.9;0.054;0.56
1054;1054;1.7;0.07;0.64
1055;1055;2.5;0.081;0.46
1056;1056;4.3;0.057;0.56
1057;1057;1.7;0.076;0.4
1058;1058;2.5;0.079;0.59
1059;1059;2.0;0.058;0.6
1060;1060;2.4;0.082;0.62
1061;1061;13.4;0.067;0.54
1062;1062;1.8;0.082;0.68
1063;1063;1.7;0.086;0.48
1064;1064;2.2;0.081;0.75
1065;1065;2.3;0.079;0.61
1066;1066;2.2;0.077;0.59
1067;1067;1.8;0.123;0.58
1068;1068;1.4;0.096;0.58
1069;1069;1.9;0.079;0.69
1070;1070;2.4;0.069;0.45
1071;1071;1.8;0.082;0.42
1072;1072;4.8;0.085;0.7
1073;1073;2.7;0.123;0.63
1074;1074;1.8;0.403;1.15
1075;1075;2.0;0.083;0.55
1076;1076;2.5;0.081;0.58
1077;1077;2.2;0.089;0.46
1078;1078;1.8;0.066;0.72
1079;1079;2.3;0.081;0.6
1080;1080;2.3;0.068;0.87
1081;1081;2.0;0.079;0.55
1082;1082;1.8;0.044;0.82
1083;1083;1.6;0.048;0.75
1084;1084;1.6;0.049;0.57
1085;1085;1.9;0.077;0.53
1086;1086;2.0;0.073;0.43
1087;1087;2.1;0.102;0.53
1088;1088;2.3;0.075;0.54
1089;1089;6.3;0.05;0.56
1090;1090;1.9;0.114;0.6
1091;1091;1.7;0.062;0.57
1092;1092;1.9;0.077;0.64
1093;1093;2.0;0.084;0.68
1094;1094;2.7;0.096;0.63
1095;1095;2.3;0.071;0.56
1096;1096;1.8;0.09;0.57
1097;1097;2.5;0.068;0.54
1098;1098;2.6;0.056;0.37
1099;1099;4.5;0.068;1.17
1100;1100;1.9;0.1;0.59
1101;1101;2.1;0.073;0.75
1102;1102;2.4;0.056;0.67
1103;1103;1.9;0.084;0.49
1104;1104;4.3;0.093;0.45
1105;1105;2.1;0.064;0.61
1106;1106;1.4;0.063;0.56
1107;1107;2.1;0.137;0.4
1108;1108;2.15;0.08;0.61
1109;1109;2.0;0.1;0.74
1110;1110;2.1;0.064;0.8
1111;1111;1.8;0.081;0.66
1112;1112;2.3;0.087;0.44
1113;1113;1.9;0.073;0.53
1114;1114;2.5;0.088;0.62
1115;1115;3.9;0.068;0.52
1116;1116;1.4;0.071;0.61
1117;1117;3.0;0.064;0.59
1118;1118;1.9;0.083;0.47
1119;1119;2.3;0.086;0.54
1120;1120;2.4;0.086;0.53
1121;1121;2.0;0.083;0.58
1122;1122;1.2;0.041;0.59
1123;1123;2.2;0.091;0.69
1124;1124;1.7;0.414;1.33
1125;1125;2.6;0.094;0.66
1126;1126;1.2;0.041;0.59
1127;1127;1.8;0.058;0.55
1128;1128;1.8;0.06;0.82
1129;1129;1.7;0.077;0.6
1130;1130;1.8;0.073;0.52
1131;1131;2.1;0.083;0.56
1132;1132;3.8;0.107;0.46
1133;1133;1.7;0.075;0.43
1134;1134;2.2;0.079;0.51
1135;1135;2.0;0.166;0.52
1136;1136;2.4;0.069;0.66
1137;1137;1.4;0.057;0.45
1138;1138;1.7;0.084;0.54
1139;1139;1.7;0.085;0.51
1140;1140;2.6;0.077;0.53
1141;1141;2.3;0.063;0.53
1142;1142;2.1;0.056;0.56
1143;1143;1.8;0.078;0.39
1144;1144;2.8;0.081;0.52
1145;1145;2.0;0.069;0.57
1146;1146;2.3;0.065;0.51
1147;1147;1.9;0.086;0.46
1148;1148;2.3;0.077;0.52
1149;1149;1.8;0.086;0.44
1150;1150;1.8;0.084;0.44
1151;1151;2.5;0.078;0.59
1152;1152;5.4;0.168;0.5
1153;1153;1.4;0.091;0.65
1154;1154;2.3;0.112;0.56
1155;1155;2.5;0.093;0.54
1156;1156;2.0;0.08;0.48
1157;1157;1.9;0.096;0.53
1158;1158;2.2;0.115;0.62
1159;1159;1.7;0.094;0.5
1160;1160;2.2;0.088;1.18
1161;1161;2.1;0.079;0.5
1162;1162;1.6;0.069;0.37
1163;1163;1.7;0.415;1.17
1164;1164;3.1;0.153;1.03
1165;1165;3.8;0.11;0.45
1166;1166;1.2;0.267;0.51
1167;1167;2.0;0.083;0.52
1168;1168;1.4;0.086;0.46
1169;1169;2.3;0.09;0.62
1170;1170;2.0;0.078;0.51
1171;1171;2.6;0.077;0.62
1172;1172;1.8;0.074;0.45
1173;1173;2.1;0.08;0.49
1174;1174;1.8;0.107;0.5
1175;1175;3.4;0.076;0.42
1176;1176;1.8;0.1;0.58
1177;1177;6.1;0.083;0.68
1178;1178;2.2;0.08;0.53
1179;1179;2.3;0.068;0.59
1180;1180;2.4;0.094;0.58
1181;1181;1.3;0.07;0.48
1182;1182;2.0;0.078;0.48
1183;1183;3.9;0.07;0.48
1184;1184;1.6;0.092;0.65
1185;1185;1.6;0.09;0.65
1186;1186;2.0;0.08;0.52
1187;1187;2.2;0.083;0.62
1188;1188;2.2;0.068;0.72
1189;1189;2.1;0.08;0.51
1190;1190;2.0;0.052;0.82
1191;1191;1.7;0.061;1.1
1192;1192;2.6;0.082;0.62
1193;1193;2.0;0.062;0.9
1194;1194;5.1;0.062;0.94
1195;1195;2.1;0.064;0.93
1196;1196;2.2;0.048;1.01
1197;1197;1.8;0.082;0.44
1198;1198;2.4;0.071;0.73
1199;1199;2.0;0.104;0.9
1200;1200;2.2;0.077;0.78
1201;1201;1.6;0.065;0.84
1202;1202;2.5;0.064;0.77
1203;1203;1.6;0.077;0.46
1204;1204;2.2;0.077;0.45
1205;1205;1.6;0.079;0.58
1206;1206;2.1;0.079;0.84
1207;1207;3.9;0.123;0.67
1208;1208;1.4;0.076;0.7
1209;1209;1.8;0.046;0.71
1210;1210;2.5;0.078;0.58
1211;1211;1.9;0.072;0.63
1212;1212;2.2;0.049;0.93
1213;1213;1.8;0.066;0.62
1214;1214;2.1;0.069;0.54
1215;1215;1.6;0.042;0.85
1216;1216;1.8;0.069;0.74
1217;1217;15.4;0.214;0.77
1218;1218;1.6;0.169;0.65
1219;1219;4.8;0.07;0.54
1220;1220;1.7;0.052;0.47
1221;1221;2.2;0.072;0.68
1222;1222;2.0;0.062;0.73
1223;1223;5.2;0.094;0.52
1224;1224;1.9;0.078;0.75
1225;1225;1.75;0.058;0.49
1226;1226;2.2;0.072;0.68
1227;1227;5.2;0.094;0.52
1228;1228;1.9;0.08;0.74
1229;1229;1.9;0.08;0.73
1230;1230;2.0;0.056;0.76
1231;1231;2.7;0.104;0.78
1232;1232;2.0;0.062;0.76
1233;1233;1.9;0.074;0.58
1234;1234;2.2;0.073;0.69
1235;1235;1.6;0.052;0.63
1236;1236;1.8;0.05;0.5
1237;1237;1.7;0.067;0.6
1238;1238;1.7;0.054;0.8
1239;1239;2.3;0.054;0.68
1240;1240;2.1;0.06;0.61
1241;1241;2.3;0.075;0.58
1242;1242;2.4;0.076;0.53
1243;1243;1.7;0.063;0.67
1244;1244;2.1;0.062;0.65
1245;1245;2.3;0.067;0.57
1246;1246;2.1;0.061;0.55
1247;1247;1.4;0.084;0.47
1248;1248;3.75;0.067;0.52
1249;1249;2.6;0.073;0.79
1250;1250;1.8;0.071;0.54
1251;1251;13.8;0.205;0.75
1252;1252;2.2;0.048;0.88
1253;1253;2.2;0.048;0.88
1254;1254;5.7;0.082;0.52
1255;1255;3.0;0.104;0.68
1256;1256;1.5;0.08;0.62
1257;1257;2.1;0.114;0.57
1258;1258;1.5;0.042;0.61
1259;1259;2.0;0.06;0.64
1260;1260;2.1;0.074;0.55
1261;1261;2.1;0.07;0.6
1262;1262;1.9;0.066;0.78
1263;1263;1.7;0.049;0.58
1264;1264;2.1;0.048;0.76
1265;1265;1.8;0.039;0.56
1266;1266;1.6;0.05;0.54
1267;1267;1.9;0.089;0.59
1268;1268;1.4;0.066;0.7
1269;1269;1.9;0.08;0.81
1270;1270;2.3;0.054;0.63
1271;1271;2.3;0.068;0.58
1272;1272;1.5;0.076;0.53
1273;1273;4.3;0.083;0.53
1274;1274;2.4;0.078;0.54
1275;1275;2.5;0.077;0.69
1276;1276;2.3;0.106;0.55
1277;1277;1.8;0.078;0.63
1278;1278;2.0;0.07;0.66
1279;1279;2.1;0.074;0.72
1280;1280;1.8;0.062;0.7
1281;1281;2.2;0.047;0.77
1282;1282;2.1;0.068;0.67
1283;1283;2.2;0.061;0.65
1284;1284;1.8;0.078;0.6
1285;1285;4.1;0.074;0.72
1286;1286;4.1;0.074;0.72
1287;1287;2.3;0.071;0.97
1288;1288;2.0;0.063;0.83
1289;1289;2.2;0.114;0.63
1290;1290;2.6;0.106;0.58
1291;1291;1.9;0.082;0.43
1292;1292;2.0;0.076;0.6
1293;1293;2.0;0.075;0.78
1294;1294;2.1;0.064;0.64
1295;1295;2.2;0.064;0.65
1296;1296;1.7;0.071;0.66
1297;1297;2.2;0.096;0.67
1298;1298;2.1;0.063;0.6
1299;1299;2.2;0.063;0.69
1300;1300;2.8;0.081;0.66
1301;1301;2.0;0.058;0.68
1302;1302;1.9;0.074;0.61
1303;1303;2.4;0.064;0.62
1304;1304;2.2;0.075;0.59
1305;1305;1.9;0.077;0.68
1306;1306;1.9;0.059;0.64
1307;1307;2.5;0.081;0.63
1308;1308;1.8;0.065;0.78
1309;1309;4.4;0.071;0.63
1310;1310;2.2;0.054;0.76
1311;1311;1.9;0.064;0.56
1312;1312;2.2;0.064;0.57
1313;1313;2.3;0.063;0.81
1314;1314;1.8;0.059;0.64
1315;1315;2.0;0.072;0.61
1316;1316;1.6;0.048;0.51
1317;1317;2.0;0.099;0.58
1318;1318;1.8;0.074;0.7
1319;1319;2.3;0.087;0.53
1320;1320;2.3;0.083;0.54
1321;1321;3.7;0.103;0.66
1322;1322;2.2;0.08;0.6
1323;1323;2.4;0.062;0.6
1324;1324;1.7;0.065;0.68
1325;1325;2.2;0.066;0.56
1326;1326;6.7;0.235;0.56
1327;1327;2.0;0.08;0.52
1328;1328;2.0;0.076;0.54
1329;1329;1.9;0.061;0.82
1330;1330;2.1;0.059;0.71
1331;1331;1.6;0.077;0.59
1332;1332;1.9;0.056;0.57
1333;1333;2.2;0.23;0.93
1334;1334;2.2;0.038;0.65
1335;1335;2.2;0.069;0.51
1336;1336;2.4;0.075;0.67
1337;1337;13.9;0.074;0.48
1338;1338;2.2;0.06;0.64
1339;1339;1.6;0.081;0.78
1340;1340;5.1;0.076;0.6
1341;1341;1.8;0.118;0.67
1342;1342;1.7;0.053;0.6
1343;1343;2.4;0.068;0.6
1344;1344;2.6;0.053;0.5
1345;1345;2.1;0.074;0.62
1346;1346;2.4;0.061;0.8
1347;1347;2.6;0.066;0.84
1348;1348;2.4;0.065;0.85
1349;1349;1.8;0.066;0.66
1350;1350;2.5;0.068;0.78
1351;1351;7.8;0.073;0.54
1352;1352;1.8;0.077;0.82
1353;1353;1.7;0.089;0.56
1354;1354;2.3;0.076;0.75
1355;1355;1.9;0.068;0.82
1356;1356;2.0;0.09;0.58
1357;1357;2.2;0.062;0.76
1358;1358;2.0;0.075;0.71
1359;1359;3.6;0.067;0.66
1360;1360;20.7;0.045;0.45
1361;1361;1.6;0.049;0.49
1362;1362;6.9;0.05;0.44
1363;1363;8.5;0.058;0.4
1364;1364;7.0;0.045;0.47
1365;1365;1.5;0.044;0.45
1366;1366;1.45;0.033;0.56
1367;1367;4.2;0.035;0.53
1368;1368;1.2;0.04;0.63
1369;1369;1.5;0.044;0.52
1370;1370;19.25;0.04;0.67
1371;1371;1.5;0.032;0.55
1372;1372;1.1;0.046;0.36
1373;1373;1.2;0.029;0.39
1374;1374;1.1;0.033;0.53
1375;1375;7.5;0.044;0.5
1376;1376;2.9;0.038;0.35
1377;1377;1.7;0.049;0.48
1378;1378;1.5;0.074;0.51
1379;1379;1.3;0.052;0.47
1380;1380;9.0;0.046;0.5
1381;1381;1.0;0.052;0.44
1382;1382;8.7;0.051;0.53
1383;1383;1.1;0.047;0.49
1384;1384;2.0;0.033;0.71
1385;1385;10.4;0.044;0.53
1386;1386;1.1;0.042;0.4
1387;1387;2.05;0.05;0.44
1388;1388;1.5;0.045;0.51
1389;1389;14.95;0.044;0.37
1390;1390;1.7;0.08;0.42
1391;1391;5.4;0.051;0.35
1392;1392;1.2;0.053;0.28
1393;1393;17.95;0.057;0.36
1394;1394;2.5;0.172;0.36
1395;1395;2.9;0.173;0.34
1396;1396;7.4;0.069;0.46
1397;1397;1.4;0.057;0.56
1398;1398;1.4;0.06;0.56
1399;1399;1.4;0.058;0.53
1400;1400;4.4;0.063;0.52
1401;1401;4.4;0.066;0.52
1402;1402;5.0;0.067;0.48
1403;1403;1.6;0.062;0.44
1404;1404;1.1;0.068;0.58
1405;1405;1.1;0.057;0.46
1406;1406;1.0;0.045;0.35
1407;1407;0.9;0.147;0.38
1408;1408;1.3;0.039;0.52
1409;1409;11.9;0.043;0.5
1410;1410;12.4;0.048;0.36
1411;1411;4.6;0.044;0.38
1412;1412;1.2;0.038;0.34
1413;1413;4.9;0.092;0.46
1414;1414;1.1;0.035;0.34
1415;1415;1.4;0.038;0.46
1416;1416;1.2;0.064;0.54
1417;1417;6.4;0.04;0.49
1418;1418;1.2;0.041;0.42
1419;1419;2.1;0.046;0.64
1420;1420;10.1;0.05;0.35
1421;1421;7.8;0.056;0.51
1422;1422;4.6;0.061;0.6
1423;1423;4.8;0.063;0.71
1424;1424;1.0;0.054;0.49
1425;1425;1.4;0.043;0.37
1426;1426;1.3;0.042;0.65
1427;1427;8.8;0.064;0.56
1428;1428;5.4;0.06;0.37
1429;1429;1.4;0.053;0.77
1430;1430;16.0;0.05;0.6
1431;1431;6.1;0.063;0.42
1432;1432;8.2;0.047;0.46
1433;1433;11.8;0.045;0.45
1434;1434;11.8;0.044;0.46
1435;1435;11.0;0.044;0.44
1436;1436;13.3;0.05;0.48
1437;1437;7.5;0.049;0.47
1438;1438;1.7;0.035;0.4
1439;1439;1.8;0.034;0.41
1440;1440;1.7;0.04;0.44
1441;1441;12.4;0.044;0.42
1442;1442;15.9;0.046;0.5
1443;1443;1.2;0.034;0.36
1444;1444;10.5;0.038;0.3
1445;1445;13.5;0.06;0.44
1446;1446;9.6;0.054;0.41
1447;1447;12.1;0.05;0.39
1448;1448;18.9;0.059;0.46
1449;1449;14.4;0.051;0.35
1450;1450;16.5;0.04;0.59
1451;1451;1.3;0.051;0.6
1452;1452;8.5;0.082;0.39
1453;1453;18.75;0.052;0.52
1454;1454;13.3;0.056;0.47
1455;1455;9.2;0.049;0.51
1456;1456;1.5;0.065;0.4
1457;1457;3.3;0.041;0.44
1458;1458;1.7;0.035;0.42
1459;1459;13.3;0.06;0.5
1460;1460;5.7;0.046;0.51
1461;1461;12.2;0.054;0.54
1462;1462;6.85;0.059;0.34
1463;1463;5.0;0.058;0.36
1464;1464;1.6;0.092;0.36
1465;1465;1.1;0.026;0.48
1466;1466;7.0;0.033;0.42
1467;1467;7.6;0.038;0.54
1468;1468;2.8;0.044;0.57
1469;1469;2.7;0.046;0.57
1470;1470;10.4;0.02;0.37
1471;1471;13.1;0.038;0.57
1472;1472;15.8;0.035;0.51
1473;1473;8.1;0.034;0.52
1474;1474;15.7;0.036;0.56
1475;1475;1.2;0.027;0.38
1476;1476;10.5;0.045;0.44
1477;1477;1.9;0.035;0.54
1478;1478;1.9;0.029;0.52
1479;1479;2.2;0.045;0.43
1480;1480;1.2;0.039;0.54
1481;1481;4.3;0.036;0.53
1482;1482;2.0;0.037;0.54
1483;1483;1.1;0.04;0.39
1484;1484;1.4;0.044;0.37
1485;1485;5.2;0.058;0.36
1486;1486;4.6;0.034;0.58
1487;1487;4.1;0.054;0.38
1488;1488;8.0;0.043;0.32
1489;1489;10.2;0.055;0.43
1490;1490;1.2;0.048;0.45
1491;1491;7.5;0.049;0.84
1492;1492;14.0;0.066;0.42
1493;1493;1.5;0.036;0.42
1494;1494;1.4;0.036;0.33
1495;1495;14.5;0.055;0.4
1496;1496;4.8;0.049;0.39
1497;1497;13.1;0.05;0.5
1498;1498;13.0;0.051;0.49
1499;1499;8.7;0.048;0.59
1500;1500;2.4;0.034;0.44
1501;1501;8.95;0.055;0.54
1502;1502;9.85;0.034;0.29
1503;1503;1.5;0.066;0.54
1504;1504;1.5;0.045;0.39
1505;1505;0.8;0.037;0.39
1506;1506;4.55;0.038;0.33
1507;1507;17.7;0.051;0.64
1508;1508;7.5;0.04;0.27
1509;1509;5.1;0.044;0.41
1510;1510;12.9;0.054;0.39
1511;1511;1.2;0.06;0.35
1512;1512;5.5;0.049;0.68
1513;1513;5.5;0.048;0.66
1514;1514;1.2;0.053;0.43
1515;1515;22.0;0.048;0.5
1516;1516;14.0;0.05;0.58
1517;1517;11.9;0.043;0.63
1518;1518;11.9;0.043;0.63
1519;1519;9.4;0.04;0.61
1520;1520;4.2;0.038;0.5
1521;1521;3.8;0.034;0.57
1522;1522;8.5;0.047;0.54
1523;1523;8.5;0.052;0.55
1524;1524;8.0;0.045;0.37
1525;1525;5.1;0.055;0.42
1526;1526;3.6;0.2;0.41
1527;1527;3.5;0.197;0.39
1528;1528;3.6;0.197;0.38
1529;1529;7.8;0.052;0.47
1530;1530;13.1;0.05;0.49
1531;1531;16.1;0.049;0.5
1532;1532;13.2;0.05;0.5
1533;1533;13.9;0.034;0.53
1534;1534;2.3;0.053;0.5
1535;1535;11.6;0.042;0.43
1536;1536;8.3;0.045;0.34
1537;1537;6.2;0.049;0.51
1538;1538;2.2;0.04;0.74
1539;1539;0.9;0.048;0.77
1540;1540;9.7;0.032;0.34
1541;1541;1.4;0.038;0.59
1542;1542;5.3;0.051;0.37
1543;1543;1.4;0.03;0.44
1544;1544;9.2;0.044;0.38
1545;1545;7.0;0.036;0.33
1546;1546;17.5;0.044;0.44
1547;1547;7.0;0.036;0.32
1548;1548;9.5;0.07;0.55
1549;1549;0.8;0.043;0.39
1550;1550;1.8;0.046;0.54
1551;1551;17.8;0.046;0.39
1552;1552;2.4;0.048;0.5
1553;1553;10.3;0.041;0.52
1554;1554;9.7;0.062;0.46
1555;1555;7.8;0.041;0.51
1556;1556;7.8;0.039;0.51
1557;1557;14.3;0.058;0.44
1558;1558;13.2;0.044;0.5
1559;1559;1.4;0.037;0.41
1560;1560;15.55;0.039;0.64
1561;1561;13.7;0.05;0.46
1562;1562;7.8;0.031;0.5
1563;1563;2.4;0.026;0.38
1564;1564;2.7;0.047;0.58
1565;1565;11.2;0.043;0.46
1566;1566;2.0;0.038;0.79
1567;1567;2.1;0.03;0.61
1568;1568;1.4;0.031;0.36
1569;1569;1.4;0.03;0.37
1570;1570;10.4;0.037;0.45
1571;1571;4.6;0.053;0.7
1572;1572;16.2;0.074;0.5
1573;1573;3.5;0.029;0.43
1574;1574;1.5;0.054;0.52
1575;1575;1.1;0.04;0.58
1576;1576;5.7;0.035;0.41
1577;1577;1.8;0.032;0.5
1578;1578;0.9;0.037;0.34
1579;1579;5.4;0.048;0.42
1580;1580;19.45;0.043;0.47
1581;1581;8.2;0.036;0.33
1582;1582;13.6;0.045;0.59
1583;1583;1.2;0.038;0.48
1584;1584;8.3;0.053;0.51
1585;1585;6.9;0.043;0.57
1586;1586;7.1;0.044;0.57
1587;1587;7.0;0.045;0.57
1588;1588;7.0;0.044;0.58
1589;1589;13.1;0.051;0.38
1590;1590;5.1;0.057;0.38
1591;1591;10.7;0.046;0.61
1592;1592;8.9;0.046;0.57
1593;1593;9.1;0.044;0.58
1594;1594;1.1;0.042;0.5
1595;1595;1.2;0.044;0.47
1596;1596;4.7;0.036;0.68
1597;1597;2.8;0.034;0.38
1598;1598;5.0;0.039;0.6
1599;1599;5.1;0.047;0.65
1600;1600;15.6;0.054;0.49
1601;1601;15.4;0.055;0.49
1602;1602;7.2;0.056;0.47
1603;1603;15.7;0.053;0.51
1604;1604;14.2;0.058;0.48
1605;1605;5.8;0.041;0.46
1606;1606;19.8;0.066;0.44
1607;1607;7.3;0.041;0.64
1608;1608;1.6;0.066;0.38
1609;1609;1.2;0.046;0.54
1610;1610;10.6;0.045;0.57
1611;1611;3.8;0.041;0.6
1612;1612;11.3;0.046;0.45
1613;1613;2.1;0.043;0.45
1614;1614;1.6;0.063;0.67
1615;1615;0.9;0.05;0.38
1616;1616;1.3;0.055;0.43
1617;1617;6.8;0.057;0.41
1618;1618;6.7;0.058;0.41
1619;1619;6.7;0.058;0.41
1620;1620;4.9;0.036;0.42
1621;1621;4.8;0.037;0.41
1622;1622;2.1;0.035;0.71
1623;1623;8.3;0.032;0.51
1624;1624;3.7;0.042;0.45
1625;1625;6.7;0.038;0.63
1626;1626;6.6;0.04;0.62
1627;1627;1.1;0.132;0.44
1628;1628;4.7;0.031;0.38
1629;1629;7.7;0.031;0.37
1630;1630;7.85;0.03;0.43
1631;1631;3.3;0.04;0.59
1632;1632;1.1;0.041;0.61
1633;1633;9.3;0.031;0.36
1634;1634;2.0;0.046;0.55
1635;1635;5.8;0.057;0.59
1636;1636;15.15;0.04;0.6
1637;1637;6.3;0.039;0.65
1638;1638;15.4;0.042;0.5
1639;1639;1.3;0.036;0.51
1640;1640;4.8;0.03;0.6
1641;1641;4.6;0.032;0.39
1642;1642;1.8;0.033;0.4
1643;1643;9.9;0.038;0.44
1644;1644;5.7;0.031;0.38
1645;1645;1.5;0.036;0.42
1646;1646;12.3;0.045;0.42
1647;1647;1.3;0.047;0.53
1648;1648;1.5;0.049;0.85
1649;1649;7.8;0.045;0.55
1650;1650;1.5;0.047;0.54
1651;1651;9.7;0.044;0.47
1652;1652;3.0;0.053;0.76
1653;1653;3.0;0.052;0.75
1654;1654;4.6;0.05;0.4
1655;1655;1.3;0.031;0.51
1656;1656;15.6;0.056;0.44
1657;1657;13.6;0.052;0.5
1658;1658;11.2;0.054;0.47
1659;1659;2.1;0.044;0.74
1660;1660;6.85;0.038;0.3
1661;1661;2.5;0.071;0.51
